"PROVINCE","DISTRICT","AGE_GROUP","MARITAL_STATUS","ALL_SEXES_OVERALL","FEMALE_OVERALL","MALE_OVERALL","TGEND_OVERALL","ALL_SEXES_RURAL","FEMALE_RURAL","MALE_RURAL","TGEND_RURAL","ALL_SEXES_URBAN","FEMALE_URBAN","MALE_URBAN","TGEND_URBAN"
"BALOCHISTAN","BARKHAN","60 - 64","SEPERATION",3,2,1,0,3,2,1,0,0,0,0,0
"BALOCHISTAN","BARKHAN","60 - 64","WIDOWED",336,297,39,0,294,261,33,0,42,36,6,0
"BALOCHISTAN","BARKHAN","65 - 69","DIVORCED",1,1,0,0,1,1,0,0,0,0,0,0
"BALOCHISTAN","BARKHAN","65 - 69","MARRIED",1762,772,990,0,1646,733,913,0,116,39,77,0
"BALOCHISTAN","BARKHAN","65 - 69","NEVER MARRIED",7,3,4,0,6,3,3,0,1,0,1,0
"BALOCHISTAN","BARKHAN","65 - 69","SEPERATION",3,3,0,0,3,3,0,0,0,0,0,0
"BALOCHISTAN","BARKHAN","65 - 69","WIDOWED",333,285,48,0,290,245,45,0,43,40,3,0
"BALOCHISTAN","BARKHAN","70 - 74","DIVORCED",1,1,0,0,1,1,0,0,0,0,0,0
"BALOCHISTAN","BARKHAN","70 - 74","MARRIED",1465,563,902,0,1391,541,850,0,74,22,52,0
"BALOCHISTAN","BARKHAN","70 - 74","NEVER MARRIED",9,4,5,0,8,3,5,0,1,1,0,0
"BALOCHISTAN","BARKHAN","70 - 74","SEPERATION",2,2,0,0,2,2,0,0,0,0,0,0
"BALOCHISTAN","BARKHAN","70 - 74","WIDOWED",378,315,63,0,336,279,57,0,42,36,6,0
"BALOCHISTAN","BARKHAN","75 & ABOVE","DIVORCED",5,1,4,0,5,1,4,0,0,0,0,0
"BALOCHISTAN","BARKHAN","75 & ABOVE","MARRIED",1295,477,818,0,1229,451,778,0,66,26,40,0
"BALOCHISTAN","BARKHAN","75 & ABOVE","NEVER MARRIED",5,1,4,0,5,1,4,0,0,0,0,0
"BALOCHISTAN","BARKHAN","75 & ABOVE","SEPERATION",2,1,1,0,2,1,1,0,0,0,0,0
"BALOCHISTAN","BARKHAN","75 & ABOVE","WIDOWED",575,468,107,0,532,429,103,0,43,39,4,0
"BALOCHISTAN","CHAGAI","15 &  ABOVE","DIVORCED",110,81,29,0,94,74,20,0,16,7,9,0
"BALOCHISTAN","CHAGAI","15 &  ABOVE","MARRIED",82086,40984,41102,0,76250,38084,38166,0,5836,2900,2936,0
